,zipcode,STATE,STATEFIPS,N1,A00100,A02650,N02650,avg_gross_income,avg_total_income
0,01001,MA,25,9060,529890.0,535877.0,9060,58486.75496688742,59147.57174392936
1,01002,MA,25,9530,854749.0,872920.0,9530,89690.34627492129,91597.06190975865
2,01005,MA,25,2400,142207.0,143893.0,2400,59252.916666666664,59955.416666666664
3,01007,MA,25,7630,565653.0,573583.0,7630,74135.38663171692,75174.70511140236
4,01008,MA,25,650,42714.0,43167.0,650,65713.84615384614,66410.76923076923
5,01010,MA,25,1930,150965.0,153491.0,1930,78220.20725388602,79529.01554404145
6,01011,MA,25,620,34577.0,34838.0,620,55769.354838709674,56190.32258064516
7,01012,MA,25,350,23452.0,23757.0,350,67005.71428571429,67877.14285714286
8,01013,MA,25,10710,440974.0,444246.0,10710,41174.04295051354,41479.55182072829
9,01020,MA,25,15200,741209.0,747621.0,15200,48763.75,49185.59210526315
10,01022,MA,25,1150,52050.0,52453.0,1150,45260.86956521739,45611.30434782609
11,01026,MA,25,510,29506.0,30038.0,510,57854.90196078431,58898.03921568627
12,01027,MA,25,9820,604991.0,614254.0,9820,61608.04480651731,62551.32382892058
13,01028,MA,25,8340,776620.0,788115.0,8340,93119.9040767386,94498.20143884892
14,01030,MA,25,6070,394935.0,399687.0,6070,65063.426688632615,65846.29324546953
15,01031,MA,25,540,25953.0,26250.0,540,48061.11111111111,48611.11111111112
16,01032,MA,25,280,15574.0,15783.0,280,55621.42857142857,56367.85714285714
17,01033,MA,25,3280,225497.0,229084.0,3280,68749.08536585367,69842.68292682926
18,01034,MA,25,1040,73859.0,75040.0,1040,71018.26923076923,72153.84615384616
19,01035,MA,25,2750,203681.0,207500.0,2750,74065.81818181819,75454.54545454546
20,01036,MA,25,2660,228140.0,231416.0,2660,85766.91729323308,86998.4962406015
21,01038,MA,25,1330,100845.0,102493.0,1330,75823.30827067669,77062.40601503759
22,01039,MA,25,770,60205.0,61524.0,770,78188.31168831169,79901.2987012987
23,01040,MA,25,16740,739707.0,748238.0,16740,44187.99283154122,44697.61051373955
24,01050,MA,25,1270,75154.0,76115.0,1270,59176.37795275591,59933.07086614173
25,01053,MA,25,920,66714.0,68348.0,920,72515.21739130435,74291.30434782608
26,01054,MA,25,960,98669.0,100412.0,960,102780.20833333333,104595.83333333333
27,01056,MA,25,10540,653139.0,660572.0,10540,61967.64705882353,62672.865275142314
28,01057,MA,25,4280,284113.0,288252.0,4280,66381.54205607476,67348.59813084113
29,01060,MA,25,7420,565189.0,578716.0,7420,76171.02425876011,77994.07008086253
30,01062,MA,25,5580,467341.0,477323.0,5580,83752.86738351255,85541.75627240143
31,01068,MA,25,960,68434.0,69338.0,960,71285.41666666666,72227.08333333334
32,01069,MA,25,4110,241493.0,244483.0,4110,58757.42092457421,59484.914841849146
33,01070,MA,25,320,16812.0,17089.0,320,52537.5,53403.125
34,01071,MA,25,830,48792.0,49279.0,830,58785.5421686747,59372.28915662651
35,01072,MA,25,760,53334.0,54665.0,760,70176.3157894737,71927.63157894737
36,01073,MA,25,3320,274267.0,278660.0,3320,82610.5421686747,83933.73493975903
37,01075,MA,25,8630,627459.0,636097.0,8630,72706.72074159907,73707.64774044033
38,01077,MA,25,5050,382220.0,387490.0,5050,75687.12871287129,76730.69306930694
39,01080,MA,25,1160,51628.0,52081.0,1160,44506.89655172414,44897.41379310345
40,01081,MA,25,830,47720.0,48085.0,830,57493.97590361445,57933.73493975904
41,01082,MA,25,5060,268355.0,271039.0,5060,53034.58498023716,53565.01976284585
42,01085,MA,25,19230,1233634.0,1248962.0,19230,64151.53406136246,64948.6219448778
43,01088,MA,25,330,19661.0,19897.0,330,59578.78787878788,60293.9393939394
44,01089,MA,25,14060,836687.0,846280.0,14060,59508.32147937411,60190.61166429587
45,01095,MA,25,7400,769767.0,781693.0,7400,104022.56756756756,105634.18918918919
46,01096,MA,25,1290,98608.0,100620.0,1290,76440.31007751939,78000.0
47,01098,MA,25,630,40268.0,41084.0,630,63917.46031746032,65212.69841269842
48,01103,MA,25,1060,42857.0,43378.0,1060,40431.1320754717,40922.64150943397
49,01104,MA,25,10500,367135.0,369243.0,10500,34965.23809523809,35166.0
50,01105,MA,25,4030,100296.0,100814.0,4030,24887.344913151363,25015.880893300247
51,01106,MA,25,7570,1272091.0,1293824.0,7570,168043.7252311757,170914.66314398943
52,01107,MA,25,4010,129515.0,130558.0,4010,32298.00498753117,32558.104738154612
53,01108,MA,25,11790,428308.0,432198.0,11790,36328.07463952502,36658.01526717557
54,01109,MA,25,11810,379824.0,382127.0,11810,32161.219305673156,32356.223539373408
55,01118,MA,25,7430,381261.0,384686.0,7430,51313.72812920592,51774.69717362046
56,01119,MA,25,6080,265645.0,267596.0,6080,43691.61184210526,44012.5
57,01128,MA,25,1460,86156.0,87043.0,1460,59010.95890410958,59618.49315068493
58,01129,MA,25,3760,189196.0,190581.0,3760,50318.08510638298,50686.436170212764
59,01151,MA,25,4070,138818.0,139712.0,4070,34107.616707616704,34327.27272727273
60,01201,MA,25,22260,1222736.0,1239702.0,22260,54929.739442946986,55691.91374663072
61,01220,MA,25,4330,211186.0,213407.0,4330,48772.74826789839,49285.681293302536
62,01222,MA,25,410,21181.0,21631.0,410,51660.975609756104,52758.53658536585
63,01223,MA,25,1130,75415.0,76879.0,1130,66738.93805309734,68034.51327433628
64,01225,MA,25,1700,103584.0,104894.0,1700,60931.76470588235,61702.35294117647
